"LfdNr";"KSKT";"KST_BEZ";"KST";"FB_Bezeichnung";
"61";"407";"St. Antonius Bakum Krippe";"407 St. Antonius Bakum Krippe";"110 GB KIGA";
"62";"408";"St. Felicitas Steinfeld Krippe";"408 St. Felicitas Steinfeld Krippe";"110 GB KIGA";
"63";"409";"St. Katharina Damme Krippe";"409 St. Katharina Damme Krippe";"110 GB KIGA";
"64";"410";"St. Antonius Bakum Spraki";"410 St. Antonius Bakum Spraki";"110 GB KIGA";
"65";"420";"St. Felicitas Steinfeld Spraki";"420 St. Felicitas Steinfeld Spraki";"110 GB KIGA";
"66";"450";"Krippengruppe Vechta St. Nepomuk";"450 Krippengruppe Vechta St. Nepomuk";"110 GB KIGA";
"67";"451";"St. Benedikt Visbek (AS Benediktschule) Altersübergreifende";"451 St. Benedikt Visbek (AS Benediktschule) Altersübergreifende Gruppe";"110 GB KIGA";
"68";"452";"Buddenkämpe Vechta Krippe";"452 Buddenkämpe Vechta Krippe";"110 GB KIGA";
"69";"460";"Frühförderung Damme";"460 Frühförderung Damme";"105 GB FF";
"70";"500";"St. Nepomuk Vechta HPK";"500 St. Nepomuk Vechta HPK";"110 GB KIGA";
"71";"501";"Tannenhof Vechta HPK";"501 Tannenhof Vechta HPK";"110 GB KIGA";
"72";"505";"HPK Lohne";"505 HPK Lohne";"110 GB KIGA";
"73";"510";"St. Jakobus Steinfeld HPK";"510 St. Jakobus Steinfeld HPK";"110 GB KIGA";
"74";"512";"Krippengruppe Steinfeld im HPK Stf.";"512 Krippengruppe Steinfeld im HPK Stf.";"110 GB KIGA";
"75";"515";"St. Franziskus Visbek HPK";"515 St. Franziskus Visbek HPK";"110 GB KIGA";
"76";"520";"St. Nepomuk Vechta Int.Gr.";"520 St. Nepomuk Vechta Int.Gr.";"110 GB KIGA";
"77";"530";"St. Jakobus Steinfeld Int.Gr.";"530 St. Jakobus Steinfeld Int.Gr.";"110 GB KIGA";
"78";"540";"St. Antonius Bakum Int.Gr.";"540 St. Antonius Bakum Int.Gr.";"110 GB KIGA";
"79";"550";"St. Martin Damme Int.Gr.";"550 St. Martin Damme Int.Gr.";"110 GB KIGA";
"80";"560";"St. Katharina Damme Int.Gr.";"560 St. Katharina Damme Int.Gr.";"110 GB KIGA";
"81";"568";"St. Johannes Lohne Kiga.Gr.";"568 St. Johannes Lohne Kiga.Gr.";"110 GB KIGA";
"82";"569";"Tante Klara Vechta Kiga.Gr.";"569 Tante Klara Vechta Kiga.Gr.";"110 GB KIGA";
"83";"570";"St. Martin Damme Kiga.Gr.";"570 St. Martin Damme Kiga.Gr.";"110 GB KIGA";
"84";"571";"St. Katharina Damme Kiga.Gr.";"571 St. Katharina Damme Kiga.Gr.";"110 GB KIGA";
"85";"572";"St. Franziskus Visbek Kiga.Gr.";"572 St. Franziskus Visbek Kiga.Gr.";"110 GB KIGA";
"86";"573";"St. Antonius Bakum Kiga.Gr.";"573 St. Antonius Bakum Kiga.Gr.";"110 GB KIGA";
"87";"574";"Tannenhof Vechta Kiga.Gr.";"574 Tannenhof Vechta Kiga.Gr.";"110 GB KIGA";
"88";"575";"Rekigagruppe Marienschule Damme";"575 Rekigagruppe Marienschule Damme";"110 GB KIGA";
"89";"576";"St. Nepomuk Vechta Kiga.Gr.";"576 St. Nepomuk Vechta Kiga.Gr.";"110 GB KIGA";
"90";"577";"St. Jakobus Steinfeld Kiga.Gr.";"577 St. Jakobus Steinfeld Kiga.Gr.";"110 GB KIGA";
"91";"578";"St. Benedikt Visbek (AS Benediktschule) Kiga.Gr.";"578 St. Benedikt Visbek (AS Benediktschule) Kiga.Gr.";"110 GB KIGA";
